Num,N,Theoretical,Unseeded small - #1,Actual - #2,Actual v2 - #3,Ratio #1,Ratio #2,Ratio #3
1,100,1000000,62924,46930,53999,0.062924,0.04693,0.053999
2,200,8000000,183186,236902,233404,0.02289825,0.02961275,0.0291755
3,300,27000000,585874,593872,558588,0.021699037,0.0219952593,0.0206884444
4,400,64000000,1115314,1073374,823016,0.0174267813,0.0167714688,0.012859625
5,500,125000000,1143772,2001216,2158723,0.009150176,0.016009728,0.017269784
6,600,216000000,1884137,2013447,1700973,0.0087228565,0.0093215139,0.007874875
7,700,343000000,2247397,3180263,2299417,0.0065521778,0.0092719038,0.0067038397
8,800,512000000,3786475,3301524,3547476,0.007395459,0.0064482891,0.0069286641
9,900,729000000,4803309,3907318,4722357,0.0065889012,0.0053598326,0.006477856
10,1000,1000000000,7153023,6961142,6208863,0.007153023,0.006961142,0.006208863
11,1100,1331000000,8051190,6978743,6635098,0.0060489782,0.0052432329,0.0049850473
12,1200,1728000000,11170883,9613363,7902243,0.0064646314,0.0055632888,0.0045730573
13,1300,2197000000,11968160,7051307,10254721,0.0054475011,0.0032095162,0.0046676017
14,1400,2744000000,13998240,11172909,13587930,0.0051013994,0.0040717598,0.0049518695
15,1500,3375000000,16127023,11859115,11046708,0.0047783772,0.0035138119,0.0032730987
16,1600,4096000000,14574074,14892957,10685196,0.0035581235,0.0036359758,0.0026086904
17,1700,4913000000,13573140,17677818,18976142,0.002762699,0.0035981718,0.0038624348
18,1800,5832000000,17834623,19019205,22336202,0.0030580629,0.0032611806,0.0038299386
19,1900,6859000000,28252081,20556187,21449326,0.0041189796,0.0029969656,0.0031271798
20,2000,8000000000,21224139,30032830,23377936,0.0026530174,0.0037541038,0.002922242
21,2100,9261000000,25628330,31504483,19106176,0.0027673394,0.0034018446,0.0020630791
22,2200,10648000000,19638313,25301571,29944068,0.0018443194,0.0023761806,0.0028121777
23,2300,12167000000,34250928,22437395,25863239,0.0028150676,0.0018441189,0.0021256874
24,2400,13824000000,46754383,49843123,27805842,0.0033821168,0.00360555,0.002011418
25,2500,15625000000,56201054,44845938,37332766,0.0035968675,0.00287014,0.002389297
26,2600,17576000000,32891114,31124446,50991590,0.0018713652,0.0017708492,0.0029012056
27,2700,19683000000,44674188,65947280,29295702,0.0022696839,0.0033504689,0.0014883759
28,2800,21952000000,44847196,43201288,42627713,0.0020429663,0.0019679887,0.0019418601
29,2900,24389000000,43173265,39565197,39154910,0.0017701941,0.0016222558,0.0016054332
30,3000,27000000000,56226344,43976580,53066380,0.0020824572,0.0016287622,0.0019654215
31,3100,29791000000,58383326,57715621,45995446,0.0019597639,0.0019373509,0.0015439376
32,3200,32768000000,71248547,65388062,56186593,0.0021743331,0.0019954853,0.0017146787
33,3300,35937000000,61132747,78517802,53849321,0.0017011088,0.0021848736,0.0014984367
34,3400,39304000000,96093345,83288157,69409796,0.0024448744,0.0021190758,0.0017659728
35,3500,42875000000,69201501,66085468,80331989,0.0016140292,0.001541352,0.0018736324
36,3600,46656000000,67086897,50900207,53500397,0.001437905,0.0010909681,0.0011466992
37,3700,50653000000,70935781,63441960,57312781,0.0014004261,0.0012524818,0.0011314785
38,3800,54872000000,101884149,92297894,88572869,0.0018567603,0.0016820581,0.0016141724
39,3900,59319000000,95408868,106782811,97722639,0.0016084032,0.0018001452,0.0016474087
40,4000,64000000000,73679030,89639726,113389233,0.0011512348,0.0014006207,0.0017717068
41,4100,68921000000,94544157,74949742,87191520,0.0013717758,0.0010874732,0.0012650937
42,4200,74088000000,94845084,127676250,88871030,0.001280168,0.0017233054,0.0011995334
43,4300,79507000000,142160114,96403565,136210783,0.0017880201,0.0012125167,0.0017131923
44,4400,85184000000,125702412,118836315,97177549,0.0014756575,0.0013950544,0.0011407958
45,4500,91125000000,176504268,105030263,119205334,0.0019369467,0.0011525955,0.0013081518
46,4600,97336000000,136595351,89991827,77591865,0.0014033384,0.0009245482,0.0007971549
47,4700,103823000000,150718571,133517158,132634996,0.0014516877,0.0012860075,0.0012775107
48,4800,110592000000,127328153,148729456,118819880,0.0011513324,0.0013448482,0.0010743985
49,4900,117649000000,120951653,138622103,193599103,0.0010280721,0.0011782684,0.0016455652
50,5000,125000000000,121180492,113704833,179400812,0.0009694439,0.0009096387,0.0014352065
